pdf,pagina_fisica,pagina_logica,seccion,numero_carta_token,clase_contenido,extracto_fuente_breve
Fantasy Tokens.pdf,12,12,Edición Alpha: corpus de cartas,PAGE,texto de cartas,"41. Chaman Cavernario. Edición Alpha. Coste/Fuerza: 5. Tipo: Token de Criatura. Habilidades: esta carta tiene la habilidad de girar la carta, busca una carta de Recurso Rápido y ponla en tu mano, ba"
Fantasy Tokens.pdf,13,13,Edición Alpha: corpus de cartas,PAGE,texto de cartas,"Descartes, en vez de eso, reduce en -1 su Fuerza y regrésalo al juego en el siguiente turno. No puede ser transmutado. 54. Australopitecos. Edición Alpha. Coste/Fuerza: 10. Tipo: Token de Criatura."
Fantasy Tokens.pdf,14,14,Edición Alpha: corpus de cartas,PAGE,texto de cartas,"habilidad: girar esta carta, sacrificar el Homínido Salvaje, destruye el Evento o Equipo objetivo. 69. Adán, el Primer Hombre. Edición Alpha. Coste/Fuerza: 5. Tipo: Token de Criatura. Habilidades"
Fantasy Tokens.pdf,15,15,Edición Alpha: corpus de cartas,PAGE,texto de cartas,"tú y tu oponente todas las Heridas, robáis seis cartas. Remueve esta carta a la Pila de Descartes. 82. Rey de los Trasgos. Edición Alpha. Coste/Fuerza: 20. Tipo: Token de Criatura. Habilidade"
Fantasy Tokens.pdf,16,16,Edición Alpha: corpus de cartas,PAGE,texto de cartas,"93. Lagrimas del Paraíso. Edición Alpha. Coste/Fuerza: 20. Tipo: Token de Evento. Efectos: cuando esta carta entre en juego, endereza todas tus criaturas, gana 10 pasos y pierdes o sufres 10 Heridas"
Fantasy Tokens.pdf,17,17,Introducción Beta / corpus de cartas,PAGE,material editorial / texto de cartas,"siguiente habilidad: gira esta carta, pagar x pasos, busca en tu baraja x cartas del tipo elegido y ponlas en tu mano. Baraja tu mazo."" FANTASY TOKEN: EDICION BETA (FT3) ""En esta segunda edición,"
Fantasy Tokens.pdf,18,18,Edición Beta: corpus de cartas,PAGE,texto de cartas,"infringe 3 Heridas a la criatura o jugador objetivo, descártate de una carta. El Elfo no puede ser transmutado de ninguna manera. 10. Duende Eterno. Edición Beta. Coste/Fuerza: 1. Tipo: Token de Cr"
Fantasy Tokens.pdf,19,19,Edición Beta: corpus de cartas,PAGE,texto de cartas,se gira al atacar y obtiene +2 a su Fuerza por cada criatura bloqueada. Sigue siendo una carta con el mismo coste en pasos. 23. Pinturas Rupestres. Edición Beta. Coste/Fuerza: 5. Tipo: Token de Eve
Fantasy Tokens.pdf,20,20,Edición Beta: corpus de cartas,PAGE,texto de cartas,37. Anulación. Edición Beta. Coste/Fuerza: 3. Tipo: Recurso Rápido. Efectos: la Transmutación objetivo no tiene lugar. Remueve esta carta a la Pila de Descartes. 38. Nigromancia. Edición Beta. Cost
Fantasy Tokens.pdf,21,21,Edición Beta: corpus de cartas,PAGE,texto de cartas,"costes hayas enviado a las Pilas de Descartes, pierde tantas Heridas (o sufre) como pasos obtengas. Remueve esta carta a la Pila de Descartes. 51. Ángel del Tiempo. Edición Beta. Coste/Fuerza: 20."
Fantasy Tokens.pdf,22,22,Edición Beta: corpus de cartas,PAGE,texto de cartas,"65. Espada Runa Bronceada. Edición Beta. Coste/Fuerza: 20. Tipo: Token de Equipo. Efectos: equipar a Runa Bronceada cuesta 0 pasos, y la criatura objetivo obtiene +10 su Fuerza. Pagar 10, desanexa"
Fantasy Tokens.pdf,23,23,Edición Beta: corpus de cartas,PAGE,texto de cartas,"77. Mano Presa Cuellos. Edición Beta. Coste/Fuerza: 3. Tipo: Token de Criatura. Habilidades: la Mano Presa Cuellos se anexa a la criatura del oponente objetivo cuando sale a juego, y si no, a una de"
Fantasy Tokens.pdf,24,24,Edición Beta: corpus de cartas,PAGE,texto de cartas,"89. Abnegación Final. Edición Beta. Coste/Fuerza: 20. Tipo: Token de Evento. Efectos: cuando este naipe salga a juego, todos los jugadores cuentan el número total de cartas en su Pila de Descartes."
Fantasy Tokens.pdf,25,25,Edición Beta: corpus de cartas,PAGE,texto de cartas,"99. Pluma de Fénix. Edición Beta. Coste/Fuerza: 0. Tipo: Token Legendario. Efectos: mandar la Pluma de Fénix a la Pila: recupera todas tus Heridas, vacía tu Reserva de pasos. 100. Palabras de"
Fantasy Tokens.pdf,26,26,Edición Beta: corpus de cartas,PAGE,texto de cartas,"disminuye en 5 la Fuerza de la criatura objetivo hasta el final del turno. Si el Guerrero es girado de alguna forma, envíalo a la Pila de Descartes. 113. El Pastor. Edición Beta. Coste/Fuerz"
Fantasy Tokens.pdf,27,27,Edición Beta: corpus de cartas,PAGE,texto de cartas,"127. Enano Escudo Pétreo. Edición Beta. Coste/Fuerza: 10. Tipo: Token de Criatura. Habilidades: esta carta reduce en 3 todas las Heridas recibidas en la fase de combate, o por medio de Eventos o Rec"
Fantasy Tokens.pdf,28,28,Edición Beta / introducción a mazos promocionales,PAGE,texto de cartas / material editorial,140. Fósil Antiguo. Edición Beta. Coste/Fuerza: 10. Tipo: Token de Evento. Efectos: pagar 10 pasos: transforma este token en una criatura Reptil Antiguo de Fuerza 20 hasta el final del turno. 141.
Fantasy Tokens.pdf,29,29,"Mazos promocionales: reglas, Primigenios y Chamanería Tribal",PAGE,reglas de formato / ejemplos,"aparezcan en los mazos iniciales o ""promo"", y si en las cajas temáticas de su tirada correspondiente. Estos mazos están todos calibrados a un número fijo de coste en ""pasos"" de baraja, así que no es"
Fantasy Tokens.pdf,30,30,"Mazos promocionales: Chamanería Tribal, Fuerza Mítica y Goblins/Trasgos",PAGE,ejemplos,"5 Amuleto de Huesos 20 5 Tormenta 15 1 el Fuego 5 5 Rayo de Tormenta 10 3 Pinturas Rupestres 15 1 Runa Antigua 5 2 Sabio Homínido 10 MAZO 3: FUERZA MITICA Pixies, Hadas, Duendes y Elfos so"
Fantasy Tokens.pdf,31,31,Mazos promocionales: Goblins/Trasgos y Génesis,PAGE,ejemplos,"5 Piojo Antiguo 5 1 Rey de los Trasgos 20 1 Cánticos Chamánicos 0 MAZO 5: GENESIS Antes de que los primeros homínidos pisasen el mundo, antes de la mismísima Noche de los Tiempos, el Creador"
Fantasy Tokens Edicion Mitica.pdf,1,UNKNOWN,Portada,PAGE,material editorial,"Fantasy Tokens Edición Mítica Nuevas Reglas Básicas y actualizaciones para el juego de cartas Fantasy Tokens, incluyendo nuevos tipos de formato y colección de cartas 13-6-2018"
Fantasy Tokens Edicion Mitica.pdf,2,1,Índice / Introitos: cambios de formato,PAGE,material editorial / reglas de formato / políticas de torneo,Índice INTROITOS ................................ ................................ ................................ ................................ 1 EDICION MITICA ...............................
Fantasy Tokens Edicion Mitica.pdf,3,2,"Introitos: torneo, impresión, drenaje y nuevos tipos",PAGE,políticas de torneo / reglas de formato / reglas generales,"- Torneos, presentaciones, construcciones, drafts, etc. Serán todos ellos legales y competitivos a partir de la edición mítica y formato mística, quedándose clásico fuera del circuito regional o loc"
Fantasy Tokens Edicion Mitica.pdf,4,3,Desafío / introducción y corpus Mítica,PAGE,reglas generales / material editorial / texto de cartas,"- Los Señores de los Reinos, que son los reyes y héroes legendarios terrenales, pudiéndose transformar en imponentes criaturas con capacidad de atacar, bloquear y hasta usar habilidades especiales y"
Fantasy Tokens Edicion Mitica.pdf,5,4,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"- Pixie Melancólica. (nº008. Edición Mítica). Tipo: Token de Criatura. Coste/Fuerza: 5. ""Vuelo. Pagar 2 Heridas: roba una carta en tu Fase Activa. Pagar 5 Heridas: el jugador objetivo se descarta de"
Fantasy Tokens Edicion Mitica.pdf,6,5,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"- Rayo de Zorchang. (nº020. Edición Mítica). Tipo: Recurso Rápido. Coste: 10. ""Infringe 5 Heridas a la criatura objetivo, reduce su Fuerza en 5. Remueve esta carta a la Pila de Descartes."" - Escudo"
Fantasy Tokens Edicion Mitica.pdf,7,6,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"baraja mazo y mano del jugador y envía todas las copias fuera de juego. No pueden ser transmutadas o recuperadas de ninguna manera. Manda esta carta a la Pila."" - Golpe Karmico. (nº034. Edición Míti"
Fantasy Tokens Edicion Mitica.pdf,8,7,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"- Música de las Esferas. (nº046. Edición Mítica). Tipo: Token de Evento. Coste: 10. ""Cuando esta carta entre en juego, busca 5 cartas al azar de tu mazo de recursos volteadas, elige tres, ponlas en"
Fantasy Tokens Edicion Mitica.pdf,9,8,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"Recurso Rápido de tu mazo de Recursos y juégala sin pagar su coste, pierdes 5 Heridas."" - Orco Anciano. (nº058. Edición Mítica). Tipo: Token de Criatura. Coste/Fuerza: 10. ""El Orco Anciano no se gi"
Fantasy Tokens Edicion Mitica.pdf,10,9,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"- El Nigromante. (nº071. Edición Mítica). Tipo: Token de Criatura. Coste/Fuerza: 10. ""Siempre que una criatura fuera a ir a la Pila de Descartes, puedes pagar 5 Pasos: pon bajo tu control una ficha"
Fantasy Tokens Edicion Mitica.pdf,11,10,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"- Gema de la Tormenta. (nº084. Edición Mítica). Tipo: Evento. Coste: 5. ""La Gema de la Tormenta es Indestructible. En cada Fase de Mantenimiento, infringe tres Heridas a la criatura o jugador objeti"
Fantasy Tokens Edicion Mitica.pdf,12,11,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"objetivo, roba una carta por Herida letal o criatura destruida de esta forma. Pagar 10 de Fuerza: mira las diez primeras cartas del jugador objetivo, colócalas en cualquier orden. Pagar cinco Herida"
Fantasy Tokens Edicion Mitica.pdf,13,12,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"10 de Fuerza: Akeless se transforma en una Aberración de fuerza restante hasta el final del turno activo. Pagar 20 de Fuerza: no existe Fase de robo, enderezar o mantenimiento o descarte, pierdes es"
Fantasy Tokens Edicion Mitica.pdf,14,13,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"llamada Odrick Barba Azul está en juego, búscala de tu mazo y ponla en juego sin pagar su coste. +5 a todos los Humanos, Enanos y Bárbaros."" - Garruck, Colmillo Furioso. (nº128. Edición Mítica). Tip"
Fantasy Tokens Edicion Mitica.pdf,15,14,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"propiedades del Payasito Oscuro. Transmutar a Sebastiano: pon en juego tres Payasitos Oscuros, pierdes quince Heridas."" - Ángel de la Guarda. (nº140. Edición Mítica). Tipo: Token de Criatura. Coste/"
Fantasy Tokens Edicion Mitica.pdf,16,15,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"- Ninfa Naturista. (nº153. Edición Mítica). Tipo: Token de Criatura. Coste/Fuerza: 10. ""Cuando esta carta entre en el tablero de juego, se convierte en un permanente Indestructible. No existe Fase d"
Fantasy Tokens Edicion Mitica.pdf,17,16,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"- Monje Meditando. (nº166. Edición Mítica). Tipo: Token de Criatura. Coste/Fuerza: 5. ""El Monje Meditando es inmune a Eventos, pero no puede atacar ni bloquear."" - Monje Sabio. (nº167. Edición Míti"
Fantasy Tokens Edicion Mitica.pdf,18,17,Edición Mítica: corpus de cartas,PAGE,texto de cartas,"- Aberración Visionaria. (nº178. Edición Mítica). Tipo: Token de Criatura. Coste/Fuerza: 10. ""La Aberración entra en juego girada. Girar esta carta: el jugador objetivo descarta una carta, pierdes u"
Fantasy Tokens.pdf,2,2,Reglas básicas — tipos de token,NORM-BASE-TIPOS,reglas generales,"Inicialmente, hemos de distinguir entre los tipos y subtipos de cartas"
Fantasy Tokens.pdf,3,3,"Objetivo, heridas y concesión",NORM-BASE-OBJETIVO,reglas generales,"El objetivo del juego es bien claro: se dispone de una baraja de criaturas, equipos, eventos o recursos"
Fantasy Tokens.pdf,3,3,Construcción y equivalencia de barajas,NORM-BASE-BARAJAS,reglas de formato,"Una baraja debe limitarse a un número reducido de puntos o ""pasos"""
Fantasy Tokens.pdf,3,3,Transmutación,NORM-BASE-TRANSMUTACION,reglas generales,"Se pueden mandar naipes ya en juego (normalmente criaturas, equipos y eventos) a la ""pila de descartes"""
Fantasy Tokens.pdf,3,3,Preparación y turnos,NORM-BASE-TURNOS,reglas generales,"El juego se divide en turnos de acción, y estos a su vez en fases"
Fantasy Tokens.pdf,4,4,Fase de Robo,NORM-BASE-FASE-ROBO,reglas generales,"Al comienzo del turno, el jugador roba una carta (si puede) del mazo de recursos"
Fantasy Tokens.pdf,4,4,Fase de Mantenimiento,NORM-BASE-FASE-MANTENIMIENTO,reglas generales,"el primer jugador puede enderezar (poner derechos) sus cartas giradas, recibiendo cinco pasos adicionales"
Fantasy Tokens.pdf,4,4,Fase de Efectos,NORM-BASE-FASE-EFECTOS,reglas generales,"pueden gastarse ""pasos"" para bajar Criaturas, realizar transmutaciones o jugar Recursos Rápidos, Equipos y Eventos"
Fantasy Tokens.pdf,4,4,Fase de Combate,NORM-BASE-FASE-COMBATE,reglas generales,"se puede atacar al oponente objetivo, causándole un numero de Heridas determinado"
Fantasy Tokens.pdf,4,4,Fase de Descarte,NORM-BASE-FASE-DESCARTE,reglas generales,"Si el primer jugador posee en su mano más de seis cartas, entonces debe quitarse tantas de ellas como supere en número al límite permitido"
Fantasy Tokens.pdf,5,5,Fase Legendaria,NORM-BASE-FASE-LEGENDARIA,reglas generales,De haber un token o naipe legendario en el tablero de juego
Fantasy Tokens.pdf,5,5,Estructura física de las cartas,NORM-BASE-ESTRUCTURA,reglas de formato,"Las cartas o naipes, poseen la siguiente estructura o partes principales"
Fantasy Tokens.pdf,5,5,Regla básica enumerada 1,NORM-BASE-01,reglas de formato,"1. Los Pasos totales de la baraja de cada jugador deben ser equivalentes, es decir, la suma de los costes en total de todas las cartas no debe superar o estar por debajo del coste en total de las restantes barajas, sin"
Fantasy Tokens.pdf,5,5,Regla básica enumerada 2,NORM-BASE-02,reglas de formato,"2. Al inicio de la partida, ambos jugadores o todos los participantes deben comenzar con el mismo número de Heridas, o acordar un límite máximo de las mismas que puedan recibir antes de perder la partida, y ponerse de"
Fantasy Tokens.pdf,5,5,Regla básica enumerada 3,NORM-BASE-03,reglas generales,"3. Al inicio de la partida, cada jugador baraja su mazo tantas veces como sea necesario, para asegurar que este sea lo más aleatorio posible (y así, se evitan casualidades demasiado frecuentes, como manos idénticas en"
Fantasy Tokens.pdf,6,6,Regla básica enumerada 4,NORM-BASE-04,reglas generales,"4. Si un jugador, en su fase inicial de partida, obtiene una mano que no le satisface demasiado, puede descartarse de ella, mezclarla con su baraja y robar de nuevo hasta cinco cartas. Si esta mano tampoco resulta buen"
Fantasy Tokens.pdf,6,6,Regla básica enumerada 5,NORM-BASE-05,reglas generales,"5. En su fase activa, si el jugador dispone de algún permanente que le permita robar más de una carta o algún Recurso Rápido que lo añada como efecto, puede hacerlo siempre que disponga de ""pasos"" suficientes en su Res"
Fantasy Tokens.pdf,6,6,Regla básica enumerada 6,NORM-BASE-06,reglas generales,"6. En su fase activa, un jugador endereza sus permanentes durante la Fase de Mantenimiento, recibiendo hasta cinco pasos para gastar, acumulándolos en su Reserva de Pasos. El oponente puede pagar o transmutar Recursos"
Fantasy Tokens.pdf,6,6,Regla básica enumerada 7,NORM-BASE-07,reglas generales,"7. En su fase activa, un jugador gastara ""pasos"" en Criaturas, Eventos y Equipos, los cuales estarán en activo nada más ser bajados al tablero de juego, vaciando así su Reserva, e incluso reforzar esto con naipes de Re"
Fantasy Tokens.pdf,6,6,Regla básica enumerada 8,NORM-BASE-08,reglas generales,"8. En su Fase de Combate, el primer jugador elige cuantas criaturas atacan al jugador pasivo, girándolas para indicar que han realizado dicha acción, es decir, exhaustándolas, por lo que no podrán bloquear durante la f"
Fantasy Tokens.pdf,6,6,Regla básica enumerada 9,NORM-BASE-09,reglas generales,"9. En su Fase de Descarte, el jugador activo puede descartarse de tantos naipes a su elección como exceda el límite por encima de seis tokens, quedándose con aquellos que más le interesen, el resto, va a la Pila de Des"
Fantasy Tokens.pdf,7,7,Regla básica enumerada 10,NORM-BASE-10,reglas generales,"10. En su Fase Pasiva, el jugador no puede robar, bajar cartas de Criatura, Eventos o Equipo (a no ser que posean una caja de texto que así lo permita) ni enderezar los permanentes que ya hayan sido girados en la Fase"
Fantasy Tokens.pdf,7,7,Regla básica enumerada 11,NORM-BASE-11,reglas generales,"11. Cuando un jugador (activo o pasivo) aplica en el tablero de juego algún token rápido o de otro tipo o lo transmuta, el oponente puede también jugar una respuesta, y así hasta gastar ambos todas sus Reservas de ""pas"
Fantasy Tokens.pdf,7,7,Regla básica enumerada 12,NORM-BASE-12,reglas generales,"12. Un permanente exhaustado o girado, tan solo se endereza de manera normal mediante la Fase de Mantenimiento, durante la fase activa de un jugador. También pueden usarse habilidades o tokens rápidos, o Eventos que pe"
Fantasy Tokens.pdf,7,7,Regla básica enumerada 13,NORM-BASE-13,reglas generales,"13. Los Equipos que salen a juego, permanecen en el tablero de juego aunque la criatura que los usaba sea destruida o removida a la Pila de Descartes. Para ""equipar"" a una criatura, ha de pagarse un numero de ""pasos"" i"
Fantasy Tokens.pdf,7,7,Regla básica enumerada 14,NORM-BASE-14,reglas generales,"14. Si una criatura posee alguna habilidad que para ser jugada implica girarla o exhaustarla, esta no podrá atacar en la Fase de Combate, a menos que algún permanente o token rápido pueda enderezarla antes de declarar"
Fantasy Tokens.pdf,7,7,Regla básica enumerada 15,NORM-BASE-15,reglas generales,"15. Las fases legendarias corresponden tan solo al final de la Fase Activa de un jugador y antes de la Fase de Descarte. Sus efectos se aplican de inmediato en el tablero de juego, apilándose sobre los permanentes indi"
Fantasy Tokens.pdf,7,7,Regla básica enumerada 16,NORM-BASE-16,reglas generales,"16. Si el texto de una carta o naipe contradice en algo alguna de las reglas básicas del juego, se aplicara finalmente el texto, siempre y cuando el oponente no apile efectos de otras, con lo que deberá resolverse segú"
Fantasy Tokens.pdf,7,7,Regla básica enumerada 17,NORM-BASE-17,reglas generales,"17. Un jugador no puede jugar tokens si su Reserva de Pasos está vacía, pero si puede transmutar tokens para rellenarla, guardando estos recursos o usándolos como le convenga, pero si el oponente juega tokens que le im"
Fantasy Tokens.pdf,7,7,Regla básica enumerada 18,NORM-BASE-18,reglas generales,"18. Si un jugador ha llegado al Límite de Heridas, y juega en ese momento un token rápido que le permite recuperarse del daño recibido en parte, entonces no habrá perdido la partida, pero si el oponente juega un token"
Fantasy Tokens.pdf,8,8,Regla básica enumerada 19,NORM-BASE-19,reglas generales,"19. Las cartas o tokens permanentes, con la caja de texto indestructible, no pueden ser enviados a la Pila de Descartes desde el tablero de juego, pero si descartados de la mano, o buscados de una baraja y enviados de"
Fantasy Tokens.pdf,8,8,Regla básica enumerada 20,NORM-BASE-20,políticas de torneo,"20. La mano de un jugador nunca puede estar a la vista de un oponente, ni las cartas del mazo boca arriba, sino boca abajo, a no ser que los efectos de algún token permitan ver la baraja de un jugador o su mano, algo q"
Fantasy Tokens.pdf,8,8,Regla básica enumerada 21,NORM-BASE-21,reglas de formato,"21. El número máximo de copias de una misma carta o token es de cinco si es común, y de cuatro si es legendario."""
Fantasy Tokens.pdf,8,8,Introducción de Edición Alpha,EDITORIAL-ALPHA,material editorial,"En esta edición, nos cuidaremos de elaborar una lista de cartas básicas y bastante jugables"
Fantasy Tokens.pdf,8,8,Estado de campeonatos y restricciones en Alpha,POLICY-ALPHA,políticas de torneo,en los campeonatos y exhibiciones no habrá prohibiciones de cartas determinadas
Fantasy Tokens.pdf,17,17,Introducción de Edición Beta,EDITORIAL-BETA,material editorial,"En esta nueva ampliación, se añade una nueva lista de naipes o tokens"
Fantasy Tokens.pdf,28,28,Introducción a mazos promocionales,FORMAT-PROMO,reglas de formato,"Los mazos promocionales de ""Fantasy Tokens"" son barajas ya preconstruidas"
Fantasy Tokens.pdf,29,29,Mazo promocional 1: Primigenios,EXAMPLE-DECK-1,ejemplos,MAZO 1: PRIMIGENIOS
Fantasy Tokens.pdf,29,29,Mazo promocional 2: Chamanería Tribal,EXAMPLE-DECK-2,ejemplos,MAZO 2: CHAMANERÍA TRIBAL
Fantasy Tokens.pdf,30,30,Mazo promocional 3: Fuerza Mítica,EXAMPLE-DECK-3,ejemplos,MAZO 3: FUERZA MÍTICA
Fantasy Tokens.pdf,30,30,Mazo promocional 4: Goblins/Trasgos,EXAMPLE-DECK-4,ejemplos,MAZO 4: GOBLINS/TRASGOS
Fantasy Tokens.pdf,31,31,Mazo promocional 5: Génesis,EXAMPLE-DECK-5,ejemplos,MAZO 5: GÉNESIS
Fantasy Tokens Edicion Mitica.pdf,2,1,Aplicabilidad competitiva de las nuevas normas,NORM-MITICA-VIGENCIA,políticas de torneo,"Estas nuevas normas estarán vigentes y obligatoriamente fijadas para torneos, presentaciones, competiciones oficiales"
Fantasy Tokens Edicion Mitica.pdf,2,1,Tamaño y puntos de baraja,NORM-MITICA-BARAJA,reglas de formato,"Los mazos serán de un mínimo de 40 cartas, siendo el cómputo de puntos de Recursos de 200 puntos por baraja y jugador"
Fantasy Tokens Edicion Mitica.pdf,2,1,"Copias, legendarias y coste cero",NORM-MITICA-COPIAS,reglas de formato,"Se permitirán hasta cinco copias de una misma carta si no es ""legendaria"", de cuatro si es ""legendaria"""
Fantasy Tokens Edicion Mitica.pdf,2,1,Formato clásico,NORM-MITICA-CLASICO,reglas de formato,"El formato clásico, permite cartas de todas las ediciones, incluyendo ""Alfa"" y ""Beta"""
Fantasy Tokens Edicion Mitica.pdf,2,1,Formato mística,NORM-MITICA-FORMATO,reglas de formato,"El formato mística, permite solamente cartas a partir de la edición mítica"
Fantasy Tokens Edicion Mitica.pdf,2,1,Ajuste de barajas,NORM-MITICA-AJUSTE,reglas de formato,"Las reglas de ajuste de barajas por puntos o coste en ""Pasos"" siguen inalterables"
Fantasy Tokens Edicion Mitica.pdf,3,2,Legalidad competitiva,NORM-MITICA-LEGALIDAD,políticas de torneo,"Torneos, presentaciones, construcciones, drafts, etc. Serán todos ellos legales y competitivos a partir de la edición mítica"
Fantasy Tokens Edicion Mitica.pdf,3,2,Legibilidad e impresión de cartas,NORM-MITICA-IMPRESION,políticas de torneo,Las reglas sobre construcción de mazos y/o impresión de cartas o Tokens seguirán exigiendo que los textos de las mismas y costes estén claros
Fantasy Tokens Edicion Mitica.pdf,3,2,Drenaje,NORM-MITICA-DRENAJE,reglas generales,"Se introduce una nueva habilidad universal, parecida a la ""transmutación"", que seguirá vigente y se empleará a partir de ""mística"", llamada ""drenaje"""
Fantasy Tokens Edicion Mitica.pdf,3,2,Token Legendarios y subtipos,NORM-MITICA-LEGENDARIOS,reglas generales,"Los Token Legendarios, tendrán un subtipo de carta a partir del acrónimo original"
Fantasy Tokens Edicion Mitica.pdf,3,2,Token Divinos,NORM-MITICA-DIVINOS,reglas generales,"Los Token Divinos, tendrán un subtipo igualmente claro y definido"
Fantasy Tokens Edicion Mitica.pdf,3,2,Señores del Abismo,NORM-MITICA-ABISMO,reglas generales,"Los Señores del Abismo, son un nuevo tipo de Token de criatura muy potente"
Fantasy Tokens Edicion Mitica.pdf,3,2,Señores del Eliseo,NORM-MITICA-ELISEO,reglas generales,"Los Señores del Eliseo, con idénticas propiedades, pero representan a las ""fuerzas de la Luz"""
Fantasy Tokens Edicion Mitica.pdf,3,2,Señores de la Magia,NORM-MITICA-MAGIA,reglas generales,"Los Señores de la Magia, un símil de los dos anteriores, pero de facción neutral"
Fantasy Tokens Edicion Mitica.pdf,4,3,Señores de los Reinos,NORM-MITICA-REINOS,reglas generales,"Los Señores de los Reinos, que son los reyes y héroes legendarios terrenales"
Fantasy Tokens Edicion Mitica.pdf,4,3,Desafío,NORM-MITICA-DESAFIO,reglas generales,"La regla universal de ""desafío"", solo puede activarse en la Fase Activa de cada jugador"
Fantasy Tokens Edicion Mitica.pdf,4,3,Introducción de Edición Mítica,EDITORIAL-MITICA,material editorial,"Sin más preámbulos, pasamos a detallar las cartas pertenecientes a esta edición"
Fantasy Tokens Edicion Mitica.pdf,4,3,Licencia de uso indicada por la fuente,EDITORIAL-MITICA-LICENCIA,material editorial,"Solo para uso personal, queda prohibida su comercialización y/o venta por parte de terceros o con ánimo de lucro"
Fantasy Tokens.pdf,8,8,Edición Alpha,ALPHA-001,texto de cartas,"1. La Criatura. Edición Alpha. Coste/Fuerza: 1. Tipo: Token de Criatura. Habilidades: girar esta carta, el token de criatura objetivo obtiene +1 a su Fuerza hasta el final del turno. Ambas criaturas siguen siendo de su mismo coste aunque se"
