capability_id,capability,domain,description,status,normative_refs,source_refs,prerequisites,dependents,corpus_direct,corpus_indirect,unlock_basis,affected_rules,risk,priority,proposed_wave,blocked_by_normative,notes
CAP-ZONE-002,Zonas base y transiciones,zone,"Mazo, mano, tablero, descarte y exilio con zonas técnicas de resolución/revelado.",SUPPORTED,N-ZONE-01;N-ZONE-02;N-ZONE-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-003;CAP-ZONE-001,CAP-ZONE-003;CAP-PRIVACY-001;CAP-SECRET-001;CAP-TIME-001;CAP-STATE-002;CAP-DAMAGE-003;CAP-ATTACH-001;CAP-SEARCH-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,431 entradas auditadas por movimientos/visibilidad; sin suma por capability,zonas; reciclaje; ocultación,MEDIUM,P1,W2,NO,
CAP-ZONE-003,Puerta uniforme de cambio de zona,zone,"Canal único que emita origen, destino, causa, lote, audiencia y estado anterior para todo movimiento.",PARTIAL,N-ZONE-01;N-ZONE-02;N-ZONE-03;N-TRANSMUTATION-01,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ACTION-003;CAP-ZONE-002,CAP-ZONE-004;CAP-ZONE-005;CAP-ZONE-006;CAP-ATTACH-001;CAP-SEARCH-003;CAP-EFFECT-003;CAP-EFFECT-004;CAP-EFFECT-005,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector movimientos en filas PARTIAL/MISSING; intervalo trazable no publicado,movimientos; limpieza; entrada/salida,CRITICAL,P0,W1,NO,"Existen movimientos y reemplazos parciales, pero rutas directas no comparten un evento causal completo."
CAP-ZONE-004,Reemplazos de transición,zone,"Selecciona y aplica reemplazos antes del movimiento, ordenados y sin aplicación parcial.",PARTIAL,N-ZONE-01;N-ZONE-03;N-TRANSMUTATION-01,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ZONE-003;CAP-SECRET-002,CAP-ZONE-005;CAP-TRANSMUTE-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector «si fuera a ir/salir»; intervalo trazable,reemplazo de zona,HIGH,P0,W1,NO,
CAP-ZONE-005,Triggers generales de salida,zone,"Dispara por destrucción, sacrificio, descarte o salida conservando causa y controlador anterior.",MISSING,N-ZONE-03;N-TRANSMUTATION-01,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ZONE-003;CAP-ZONE-004;CAP-ZONE-006;CAP-STACK-001;CAP-TRIGGER-001,CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector ON_DESTROYED/ON-MOVE_DISCARD/salida en filas PARTIAL/MISSING,triggers de salida; sacrificio; descarte,CRITICAL,P0,W1,NO,ON_TRANSMUTED no sustituye un trigger universal de salida.
CAP-ZONE-006,Last-known information,zone,"Captura definición efectiva, controlador, estado y audiencia anteriores al abandonar una zona.",MISSING,N-ZONE-02;N-ZONE-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ZONE-003;CAP-PRIVACY-001,CAP-ZONE-005;CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,prerequisite arquitectónico; no atribuible con exactitud a entradas,salida; efectos de fuente ausente,CRITICAL,P0,W1,NO,
CAP-PRIVACY-001,Proyección pública por audiencia,privacy,"Oculta mano, orden de mazo, candidatos y detalles de pila; conserva vista propia autorizada.",SUPPORTED,N-ZONE-02,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ZONE-002,CAP-ZONE-006;CAP-SECRET-001;CAP-SECRET-002;CAP-TIME-001;CAP-SEARCH-001;CAP-COMBAT-005,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,431 entradas bajo régimen de visibilidad; prerequisite,zonas ocultas,CRITICAL,P0,W0,NO,
CAP-SECRET-001,Mirar sin revelar,privacy,Permite observar privadamente una zona/subconjunto sin emitir revelación pública.,MISSING,N-ZONE-02,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ZONE-002;CAP-PRIVACY-001,CAP-SECRET-002;CAP-SEARCH-002;CAP-SEARCH-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector visibilidad OCULTA del corpus; intervalo trazable,mirar; información oculta,HIGH,P0,W1,NO,
CAP-SECRET-002,Elección secreta y compuesta,privacy,"PendingChoice tipada con elector, audiencia, candidatos, cardinalidad, modo, orden y option token.",PARTIAL,N-ZONE-02;N-TOKEN-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-ACTION-002;CAP-COST-004;CAP-PRIVACY-001;CAP-SECRET-001,CAP-ZONE-004;CAP-TIME-002;CAP-TRIGGER-001;CAP-SEARCH-002;CAP-SEARCH-003;CAP-COMBAT-002;CAP-EFFECT-003;CAP-EFFECT-005,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector elige/top-N/alternativas/reordenación en PARTIAL/MISSING,elecciones; privacidad; orden,CRITICAL,P0,W1,NO,PendingSearch y elecciones de reemplazo cubren sólo subconjuntos.
CAP-TARGET-001,Targets tipados y congelados,targeting,"Valida targets al anunciar, congela procedencia/selección y revalida al resolver.",SUPPORTED,N-TOKEN-03;N-COMBAT-01,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-002,CAP-TARGET-002;CAP-TRANSFORM-002;CAP-IMMUNITY-001;CAP-EFFECT-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector targets= del corpus; conteo exacto no agregado,objetivo; ilegalidad al resolver,HIGH,P0,W0,NO,
CAP-TARGET-002,Selectores multidimensionales,targeting,"Filtra por tipo, rango, subtipo, dominio, keyword, identidad, controlador, zona y visibilidad con semántica AND/OR explícita.",PARTIAL,N-TOKEN-01;N-ZONE-02,docs/TOKEN_TYPES_MATRIX.md §§2-4; docs/CANONICAL_TAXONOMY.md §§2-5,CAP-TARGET-001;CAP-TAXONOMY-001;CAP-TAXONOMY-002;CAP-TAXONOMY-003,CAP-SEARCH-001;CAP-EFFECT-002,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,"431 entradas auditadas; familias de §3.1 son menciones solapables, no sumables",selección taxonómica,HIGH,P0,W1,NO,"CardFilter no cubre dominio, keyword, controlador, zona, visibilidad ni coincidencia exacta de subtipo."
CAP-TAXONOMY-001,Dimensiones canónicas separadas,taxonomy,"Separa tipo funcional, rango, dominio, subtipo e identidad sin inferir raza por nombre o arte.",PARTIAL,N-TOKEN-01;N-LEGENDARY-02;N-LEGENDARY-04,docs/TOKEN_TYPES_MATRIX.md §§2-4; docs/CANONICAL_TAXONOMY.md §§2-5,,CAP-TARGET-002;CAP-TAXONOMY-002;CAP-TAXONOMY-003;CAP-KEYWORD-001;CAP-IMMUNITY-001;CAP-CATALOG-001,431 entradas: censo completo; tipos impresos totalizan exactamente 431,386 identidades / 45 variantes: conservar sin mezclar con entradas,TOKEN_TYPES_MATRIX §2 reproduce 431; incorporación de vocabulario sigue parcial,tipos; rangos; dominios; subtipos,HIGH,P0,W1,NO,
CAP-TAXONOMY-002,Leyenda y tipos impresos múltiples,taxonomy,Representa Leyenda autónoma y combinaciones impresas sin forzar un único CardKind.,BLOCKED,N-TOKEN-01,docs/TOKEN_TYPES_MATRIX.md §§2-4; docs/CANONICAL_TAXONOMY.md §§2-5,CAP-TAXONOMY-001,CAP-TARGET-002,431 entradas: subconjunto trazable de rótulos sin tipo original y clasificaciones múltiples; sin conteo exacto de desbloqueo,386 identidades: agregado exacto de estos subconjuntos no publicado; 45 variantes no reasignadas,selector trazable del corpus; conteo exacto omitido porque la agregación de capability no está publicada en CARD_CORPUS_CONFORMANCE.md,Leyenda; tipo original; doble clasificación,HIGH,P1,W-NORM,YES: significado de Leyenda y tipo original ausente,"No inventar el tipo desde nombre, arte o efecto."
CAP-TAXONOMY-003,"Vocabulario, aliases y procedencia de subtipos",taxonomy,Registro canónico trazable que conserva grafía y evita fusionar Pixy/Pixie sin autoridad.,PARTIAL,N-TOKEN-01,docs/TOKEN_TYPES_MATRIX.md §§2-4; docs/CANONICAL_TAXONOMY.md §§2-5,CAP-TAXONOMY-001,CAP-TARGET-002,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,15 familias enumeradas con conteos exactos por entradas en CARD_CORPUS_CONFORMANCE §3.1; no sumables por solapamiento,subtipos; aliases,MEDIUM,P1,W2,NO,
CAP-TIME-001,Preparación inicial,timing,"Baraja, roba seis, elige primero y proyecta manos de forma privada.",PARTIAL,N-PHASE-01,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ZONE-002;CAP-PRIVACY-001,CAP-TIME-002,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,regla global de partida; desbloqueo prerequisite,preparación,MEDIUM,P1,W2,YES: prioridad inicial no canónica,
CAP-TIME-002,Mulligan decreciente,timing,Comando/estado/replay para mulligan repetible de cinco a una carta.,MISSING,N-PHASE-02,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-SECRET-002;CAP-TIME-001,CAP-TIME-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,regla global de partida; no conteo por carta,mulligan,HIGH,P1,W2,NO,Ausencia técnica: la regla de tamaños 5→1 sí está formulada; no confundir con detalles no fijados.
CAP-TIME-003,Secuencia y transición de fases,timing,Robo→Mantenimiento→Efectos→Combate→Legendaria→Descarte con guardas de salida.,PARTIAL,N-PHASE-03;N-PHASE-04;N-PHASE-05;N-PHASE-06;N-PHASE-07;N-LEGENDARY-01,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-001;CAP-ACTION-002;CAP-TIME-002;CAP-STACK-001;CAP-NORM-001,CAP-TIME-004;CAP-COMBAT-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,reglas globales y ventanas de 431 entradas; no conteo exacto por fase,fases; omisión; legendaria,HIGH,P0,W-NORM,YES: posición/ventanas exactas y efectos de omitir no están plenamente fijados,
CAP-TIME-004,Prioridad y ventanas de respuesta,timing,"Rota prioridad, cierra por pases y restringe acciones por fase/rol.",PARTIAL,N-PHASE-06;N-PHASE-08;N-PHASE-09;N-TOKEN-02,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-002;CAP-TIME-003;CAP-NORM-001,CAP-STACK-001;CAP-TRANSMUTE-002;CAP-COMBAT-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,infraestructura transversal; extremos normativos sin conteo de cartas,prioridad; Fase Pasiva; rápidos,CRITICAL,P0,W-NORM,"YES: «cualquier momento», primera prioridad y número de pases no son canónicos",
CAP-STACK-001,Pila LIFO,timing,"Apila acciones/efectos, permite respuestas y resuelve LIFO con replay y vista pública resumida.",SUPPORTED,N-PHASE-09,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-003;CAP-COST-002;CAP-TIME-004,CAP-ZONE-005;CAP-TIME-003;CAP-TRIGGER-001;CAP-IMMUNITY-001;CAP-EFFECT-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,infraestructura transversal; desbloqueo prerequisite,LIFO,CRITICAL,P0,W0,NO,
CAP-TRIGGER-001,Orden de triggers simultáneos,timing,Agrupa triggers simultáneos y persiste elector/orden antes de apilarlos.,PARTIAL,N-PHASE-04;N-PHASE-05;N-LEGENDARY-01,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-SECRET-002;CAP-STACK-001,CAP-ZONE-005;CAP-COMBAT-004;CAP-EFFECT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector triggers= del corpus; conteo exacto no agregado,triggers; legendaria,HIGH,P0,W2,YES: orden/primera prioridad de simultáneos no está definido en varios casos,
CAP-STATE-001,Estado derivado y recálculo,state,"Deriva criatura efectiva, Fuerza, keywords, destruible y elegibilidad; revalida sin persistir verdad paralela.",SUPPORTED,N-COMBAT-01;N-COMBAT-02;N-LEGENDARY-04,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ACTION-001,CAP-STATE-002;CAP-DAMAGE-001;CAP-DAMAGE-005;CAP-TRANSFORM-001;CAP-COMBAT-001;CAP-EFFECT-002,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,infraestructura transversal; prerequisite,Fuerza; aptitud; Señor,MEDIUM,P1,W2,NO,
CAP-STATE-002,Duraciones y limpieza,state,"Mantiene efectos permanentes, continuos y hasta fin de turno; limpia estado al salir del tablero.",SUPPORTED,N-TOKEN-03;N-ZONE-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ZONE-002;CAP-STATE-001,CAP-DAMAGE-002;CAP-TRANSFORM-001;CAP-TRANSFORM-002;CAP-KEYWORD-002;CAP-EFFECT-002;CAP-EFFECT-006,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector duración= del corpus; conteo exacto no agregado,duraciones; fin de turno,MEDIUM,P1,W2,NO,
CAP-DAMAGE-001,Daño y Heridas separados,damage,"Acumula daño en permanentes y Heridas en jugadores, con fuentes y acciones basadas en estado.",SUPPORTED,N-COMBAT-02,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-STATE-001,CAP-DAMAGE-002;CAP-DAMAGE-003;CAP-COMBAT-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector DEAL_DAMAGE/DEAL_WOUNDS y combate; conteo exacto no agregado,daño; letal; heridas,HIGH,P0,W0,NO,
CAP-DAMAGE-002,Prevención tipada por causa y duración,damage,"Previene cantidad o todo el daño/Heridas según combate, procedencia, objetivo y duración.",PARTIAL,N-COMBAT-02;N-TOKEN-03,docs/CARD_CORPUS_CONFORMANCE.md §§1-4; docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8,CAP-STATE-002;CAP-DAMAGE-001,CAP-COMBAT-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector PREVENT en filas PARTIAL/MISSING; intervalo trazable,prevención de daño; prevención de Heridas,HIGH,P0,W1,NO,Las reservas numéricas existen; falta prevención ilimitada filtrada por combate/procedencia.
CAP-DAMAGE-003,Destrucción,damage,"Resuelve destrucción explícita y letal con causa, target, reemplazos y acciones de estado.",SUPPORTED,N-COMBAT-02;N-LEGENDARY-02,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-ZONE-002;CAP-DAMAGE-001,CAP-DAMAGE-004;CAP-DAMAGE-005,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector DESTROY del corpus; conteo exacto no agregado,destruir; daño letal,MEDIUM,P1,W2,NO,
CAP-DAMAGE-004,Regeneración,damage,"Consume escudo, evita destrucción, limpia daño y gira; respeta permiso de regenerar.",SUPPORTED,N-COMBAT-02;N-TOKEN-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-DAMAGE-003,CAP-COMBAT-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector regeneración del corpus; conteo exacto no agregado,regenerar,MEDIUM,P1,W2,NO,
CAP-DAMAGE-005,Indestructibilidad,damage,"Keyword efectiva que impide destrucción/letal sin impedir sacrificio, Transmutación o Señor a Fuerza cero.",SUPPORTED,N-LEGENDARY-02;N-COMBAT-02,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-STATE-001;CAP-DAMAGE-003,CAP-IMMUNITY-001,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector intrínsecas=INDESTRUCTIBLE; conteo exacto no agregado,Indestructible; Divino,MEDIUM,P1,W2,NO,
CAP-ATTACH-001,Anexos y Equipo,attachment,"Anexa Equipo, aplica bonificaciones y lo desanexa conservándolo cuando sale el huésped.",SUPPORTED,N-ZONE-03;N-COST-03,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-COST-002;CAP-ZONE-002;CAP-ZONE-003,CAP-EFFECT-002,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,14 entradas de Equipo exactas en CARD_CORPUS_CONFORMANCE §3.2/TOKEN_TYPES_MATRIX; variantes de rango aparte,equipar; desanexar,MEDIUM,P1,W2,NO,
CAP-TRANSFORM-001,Convertirse en criatura,transformation,Cambia el perfil efectivo de un permanente sin sustituir su definición.,SUPPORTED,N-LEGENDARY-05,"docs/FANTASY_TOKENS_BACKEND_GAP_AUDIT.md §8; docs/audits/STATIC_RULE_COVERAGE_AUDIT_2026-09-03.md §§2,5-6; docs/UNIVERSAL_MECHANICS_MATRIX.md",CAP-STATE-001;CAP-STATE-002,CAP-COMBAT-002;CAP-COMBAT-003,431 entradas: alcance transversal; conteo exacto por capability no publicado,386 identidades / 45 variantes: impacto indirecto no sumado,selector transformación del corpus; conteo exacto no agregado,Señor de Reinos,MEDIUM,P1,W2,NO,
